EntityNumber,ActivityGroup,NaceVersion,NaceCode,Classification
0404.300.651,1,2003,52488,SECO
0404.305.797,6,2008,71209,MAIN
0404.305.797,1,2008,71209,MAIN
0404.305.797,1,2003,74203,MAIN
0404.305.797,6,2003,74302,MAIN
0404.454.168,6,2008,66220,MAIN
0404.454.168,1,2008,65121,MAIN
0404.458.128,1,2008,66220,MAIN
0404.496.829,6,2008,64992,MAIN
0404.496.829,1,2008,64992,MAIN
0404.496.829,1,2003,67130,MAIN
0404.496.829,6,2003,65233,MAIN
0404.502.074,6,2008,66191,MAIN
0404.502.074,6,2003,65233,MAIN
0404.502.272,6,2008,66220,MAIN
0404.502.272,1,2008,66220,MAIN
0404.502.272,1,2008,82990,SECO
0404.502.272,6,2003,67201,MAIN
0404.507.915,1,2008,52290,MAIN
0404.507.915,1,2008,66220,SECO
0404.507.915,1,2003,63401,MAIN
0404.507.915,1,2003,67201,SECO
0404.514.150,1,2008,52249,MAIN
0404.514.150,1,2003,63112,MAIN
0404.514.249,6,2008,46431,MAIN
0404.514.249,1,2008,46620,MAIN
0404.514.249,1,2003,51810,MAIN
0404.514.249,6,2003,51430,MAIN
0404.515.239,6,2008,52290,MAIN
0404.515.239,1,2008,52290,MAIN
0404.515.239,1,2003,63401,MAIN
0404.515.239,6,2003,63401,MAIN
0404.520.880,6,2008,52290,MAIN
0404.520.880,1,2008,52290,MAIN
0404.520.880,1,2003,63404,MAIN
0404.520.880,6,2003,63401,MAIN
0404.520.979,6,2008,52290,MAIN
0404.520.979,1,2008,52290,MAIN
0404.520.979,1,2003,63403,MAIN
0404.520.979,6,2003,63401,MAIN
0404.531.867,6,2008,52290,MAIN
0404.531.867,1,2008,52290,MAIN
0404.531.867,1,2003,63404,MAIN
0404.531.867,6,2003,63404,MAIN
0404.532.065,1,2008,52290,MAIN
0404.532.065,1,2003,63401,MAIN
0404.532.263,6,2008,52290,MAIN
0404.532.263,1,2008,52290,MAIN
0404.532.263,1,2003,63401,MAIN
0404.532.263,6,2003,63401,MAIN
0404.532.857,6,2008,52220,MAIN
0404.532.857,1,2008,52220,MAIN
0404.532.857,1,2003,63220,MAIN
0404.532.857,6,2003,63220,MAIN
0404.535.431,6,2008,70100,MAIN
0404.535.431,1,2008,64200,MAIN
0404.535.431,1,2008,50200,SECO
0404.535.431,1,2003,61100,MAIN
0404.535.431,6,2003,74151,MAIN
0404.546.319,6,2008,52220,MAIN
0404.546.319,1,2008,52220,MAIN
0404.546.319,1,2003,63220,MAIN
0404.546.319,6,2003,61200,MAIN
0404.546.418,1,2008,52290,MAIN
0404.546.418,1,2008,62090,SECO
0404.546.418,1,2008,70220,SECO
0404.546.418,1,2008,82110,SECO
0404.546.418,1,2008,86909,SECO
0404.546.418,1,2003,63403,MAIN
0404.548.891,6,2008,52290,MAIN
0404.548.891,1,2008,52290,MAIN
0404.548.891,1,2003,63403,MAIN
0404.548.891,6,2003,63401,MAIN
0404.554.633,6,2008,52290,MAIN
0404.554.633,1,2008,52290,MAIN
0404.554.633,1,2003,63112,MAIN
0404.554.633,6,2003,63403,MAIN
0404.560.868,6,2008,46769,MAIN
0404.560.868,1,2008,46412,MAIN
0404.560.868,1,2003,51410,MAIN
0404.560.868,6,2003,51410,MAIN
