EntityNumber,TypeOfAddress,CountryNL,CountryFR,Zipcode,MunicipalityNL,MunicipalityFR,StreetNL,StreetFR,HouseNumber,Box,ExtraAddressInfo,DateStrikingOff,FullAddress,Latitude,Longitude
0885.703.337,REGO,,,2060,Antwerpen,Antwerpen,Klamperstraat,Klamperstraat,9,,,,"Klamperstraat 9, 2060 Antwerpen, Belgium",51.2265975,4.426711037481256
0885.809.047,REGO,,,2060,Antwerpen,Antwerpen,Handelstraat,Handelstraat,13,,,,"Handelstraat 13, 2060 Antwerpen, Belgium",51.223518,4.4278834940612715
0885.811.522,REGO,,,2060,Antwerpen,Antwerpen,Schijnpoortweg,Schijnpoortweg,53,,,,"Schijnpoortweg 53, 2060 Antwerpen, Belgium",51.22873545,4.440378329662726
0886.253.366,REGO,,,2060,Antwerpen,Antwerpen,Spoorstraat,Spoorstraat,3,,,,"Spoorstraat 3, 2060 Antwerpen, Belgium",51.222678349999995,4.4204472662359
0886.368.974,REGO,,,2060,Antwerpen,Antwerpen,Tulpstraat,Tulpstraat,104,,,,"Tulpstraat 104, 2060 Antwerpen, Belgium",51.22746831405834,4.428633045080959
0886.720.055,REGO,,,2060,Antwerpen,Antwerpen,Van Maerlantstraat,Van Maerlantstraat,33,,,,"Van Maerlantstraat 33, 2060 Antwerpen, Belgium",51.22348665,4.417850919317626
0886.730.844,REGO,,,2060,Antwerpen,Antwerpen,Vlagstraat,Vlagstraat,74,,,,"Vlagstraat 74, 2060 Antwerpen, Belgium",51.2238731,4.439580917142857
0886.982.351,REGO,,,2060,Antwerpen,Antwerpen,Ellermanstraat,Ellermanstraat,21,,,,"Ellermanstraat 21, 2060 Antwerpen, Belgium",51.23031075,4.415208066130955
0887.037.680,REGO,,,2060,Antwerpen,Antwerpen,Van Maerlantstraat,Van Maerlantstraat,77,,,08-08-2023,"Van Maerlantstraat 77, 2060 Antwerpen, Belgium",51.223429144199315,4.417599484680834
0887.549.406,REGO,,,2060,Antwerpen,Antwerpen,Erwtenstraat,Erwtenstraat,10,,,,"Erwtenstraat 10, 2060 Antwerpen, Belgium",51.2264558,4.431614568430362
0888.155.259,REGO,,,2060,Antwerpen,Antwerpen,Carnotstraat,Carnotstraat,78,,,,"Carnotstraat 78, 2060 Antwerpen, Belgium",51.217818699999995,4.4254067191611455
0888.163.672,REGO,,,2060,Antwerpen,Antwerpen,Diepestraat,Diepestraat,138,,,,"Diepestraat 138, 2060 Antwerpen, Belgium",51.22400270685406,4.423747841085874
0888.365.491,REGO,,,2060,Antwerpen,Antwerpen,Van Maerlantstraat,Van Maerlantstraat,34,,,,"Van Maerlantstraat 34, 2060 Antwerpen, Belgium",51.22315345,4.417426522740335
0888.392.910,REGO,,,2060,Antwerpen,Antwerpen,Jan Palfijnstraat,Jan Palfijnstraat,35,,huisnummer 35-37,,"Jan Palfijnstraat 35, 2060 Antwerpen, Belgium",51.22318799999999,4.431347093489585
0888.412.607,REGO,,,2060,Antwerpen,Antwerpen,Rotterdamstraat,Rotterdamstraat,9,,,25-10-2023,"Rotterdamstraat 9, 2060 Antwerpen, Belgium",51.22431575,4.418335217232114
0888.581.861,REGO,,,2060,Antwerpen,Antwerpen,Van Montfortstraat,Van Montfortstraat,67,,,,"Van Montfortstraat 67, 2060 Antwerpen, Belgium",51.2199831,4.4376868909533265
0888.614.228,REGO,,,2060,Antwerpen,Antwerpen,Spoorstraat,Spoorstraat,4,,,,"Spoorstraat 4, 2060 Antwerpen, Belgium",51.22250065,4.420572230826076
0888.654.711,REGO,,,2060,Antwerpen,Antwerpen,Van Arteveldestraat,Van Arteveldestraat,3,,,,"Van Arteveldestraat 3, 2060 Antwerpen, Belgium",51.219554099999996,4.419362189664323
0888.709.941,REGO,,,2060,Antwerpen,Antwerpen,Van Stralenstraat,Van Stralenstraat,1,,,,"Van Stralenstraat 1, 2060 Antwerpen, Belgium",51.22155105,4.41899927087257
0888.934.031,REGO,,,2060,Antwerpen,Antwerpen,Van Arteveldestraat,Van Arteveldestraat,51,,,,"Van Arteveldestraat 51, 2060 Antwerpen, Belgium",51.220712750000004,4.419617693433465
0889.268.581,REGO,,,2060,Antwerpen,Antwerpen,Tulpstraat,Tulpstraat,92,,,,"Tulpstraat 92, 2060 Antwerpen, Belgium",51.22746831405834,4.428633045080959
0889.421.407,REGO,,,2060,Antwerpen,Antwerpen,Van de Wervestraat,Van de Wervestraat,18,,,,"Van de Wervestraat 18, 2060 Antwerpen, Belgium",51.2286526,4.4154704
0889.428.632,REGO,,,2060,Antwerpen,Antwerpen,Van Wesenbekestraat,Van Wesenbekestraat,15,,,,"Van Wesenbekestraat 15, 2060 Antwerpen, Belgium",51.219701799999996,4.4204251815479765
0889.517.912,REGO,,,2060,Antwerpen,Antwerpen,Zeilstraat,Zeilstraat,18,,,,"Zeilstraat 18, 2060 Antwerpen, Belgium",51.224508900000004,4.4375806812804806
0889.781.394,REGO,,,2060,Antwerpen,Antwerpen,Bredastraat,Bredastraat,85 - K01,,KOFFIENATIE,,"Bredastraat 85 - K01, 2060 Antwerpen, Belgium",51.234163074010816,4.423250797930664
0889.812.177,REGO,,,2060,Antwerpen,Antwerpen,Kerkstraat,Kerkstraat,161,,,,"Kerkstraat 161, 2060 Antwerpen, Belgium",51.21976265,4.43506162487148
0890.078.829,REGO,,,2060,Antwerpen,Antwerpen,Van Arteveldestraat,Van Arteveldestraat,47,,,,"Van Arteveldestraat 47, 2060 Antwerpen, Belgium",51.220627949999994,4.419566347432001
0890.145.838,REGO,,,2060,Antwerpen,Antwerpen,Dambruggestraat,Dambruggestraat,57,,,,"Dambruggestraat 57, 2060 Antwerpen, Belgium",51.22038115,4.423015965322135
0890.170.384,REGO,,,2060,Antwerpen,Antwerpen,Duboisstraat,Duboisstraat,39,,,,"Duboisstraat 39, 2060 Antwerpen, Belgium",51.229103949999995,4.417592504360639
0890.236.207,REGO,,,2060,Antwerpen,Antwerpen,IJzerlaan,IJzerlaan,54-56,21,,,"IJzerlaan 54-56, 2060 Antwerpen, Belgium",51.23474575,4.426647753112003
0890.309.649,REGO,,,2060,Antwerpen,Antwerpen,Joossensgang,Joossensgang,14,,,,"Joossensgang 14, 2060 Antwerpen, Belgium",51.2327277,4.422665934972172
