EntityNumber,ActivityGroup,NaceVersion,NaceCode,Classification
0211.211.461,6,2008,94910,MAIN
0211.211.461,6,2003,91310,MAIN
0400.088.970,1,2008,52290,MAIN
0400.088.970,1,2003,63403,MAIN
0400.113.815,1,2008,52249,MAIN
0400.113.815,1,2008,68201,SECO
0400.113.815,1,2008,73200,SECO
0400.113.815,1,2008,82990,SECO
0400.113.815,1,2003,63112,MAIN
0403.812.681,6,2008,47730,MAIN
0403.812.681,1,2008,47730,MAIN
0403.812.681,1,2003,52310,MAIN
0404.279.568,6,2008,43341,MAIN
0404.279.568,1,2008,43341,MAIN
0404.279.568,1,2008,46442,SECO
0404.279.568,1,2003,45441,MAIN
0404.279.568,1,2003,51442,SECO
0404.279.568,6,2003,45441,MAIN
0404.500.688,6,2008,64992,MAIN
0404.500.688,1,2008,64992,MAIN
0404.500.688,6,2003,65233,MAIN
0404.502.569,6,2008,66220,MAIN
0404.502.569,1,2008,68201,MAIN
0404.502.569,6,2003,67201,MAIN
0404.514.348,1,2008,50200,MAIN
0404.514.348,1,2008,51100,SECO
0404.514.348,1,2008,52290,SECO
0404.514.348,1,2003,61100,MAIN
0404.514.348,1,2003,62200,SECO
0404.514.348,1,2003,63405,SECO
0404.519.593,1,2008,68100,MAIN
0404.519.593,1,2003,63401,MAIN
0404.546.814,6,2008,52290,MAIN
0404.546.814,1,2008,52290,MAIN
0404.546.814,1,2003,63401,MAIN
0404.546.814,6,2003,63401,MAIN
0404.555.920,6,2008,52290,MAIN
0404.555.920,1,2008,52290,MAIN
0404.555.920,1,2003,63401,MAIN
0404.555.920,6,2003,63401,MAIN
0404.561.561,6,2008,46216,MAIN
0404.561.561,1,2008,46216,MAIN
0404.561.561,1,2003,51210,MAIN
0404.561.561,6,2003,51210,MAIN
0404.633.619,1,2008,43221,MAIN
0404.633.619,1,2003,45332,MAIN
0404.642.230,1,2008,47592,MAIN
0404.642.230,1,2008,43343,SECO
0404.642.230,1,2003,52442,MAIN
0404.642.230,1,2003,45442,SECO
0404.656.977,6,2008,43211,MAIN
0404.656.977,1,2008,43211,MAIN
0404.656.977,1,2008,47540,SECO
0404.656.977,1,2003,45310,MAIN
0404.656.977,1,2003,52450,SECO
0404.656.977,6,2003,45310,MAIN
0404.668.162,6,2008,32400,MAIN
0404.668.162,1,2008,32300,MAIN
0404.668.162,1,2008,46699,SECO
0404.668.162,1,2008,64910,SECO
0404.668.162,1,2008,95290,SECO
0404.668.162,1,2003,36400,MAIN
0404.668.162,1,2003,51873,SECO
0404.668.162,1,2003,52740,SECO
0404.668.162,1,2003,65210,SECO
0404.668.162,6,2003,36500,MAIN
0404.757.343,6,2008,52290,MAIN
0404.757.343,1,2008,52241,MAIN
0404.757.343,1,2003,63111,MAIN
0404.757.343,6,2003,63403,MAIN
0404.778.426,6,2008,52100,MAIN
0404.778.426,1,2008,49410,MAIN
0404.778.426,1,2008,52241,SECO
0404.778.426,1,2008,52290,SECO
0404.778.426,1,2003,60242,MAIN
0404.778.426,1,2003,63111,SECO
0404.778.426,1,2003,63404,SECO
0404.778.426,6,2003,63122,MAIN
0404.788.126,1,2008,52241,MAIN
0404.788.126,1,2003,63111,MAIN
0404.795.252,1,2008,68201,MAIN
0404.795.252,1,2008,52290,SECO
0404.795.252,1,2008,68203,SECO
0404.795.252,1,2003,63404,MAIN
0404.795.351,1,2008,77299,MAIN
0404.795.351,1,2008,68201,SECO
0404.805.051,6,2008,52100,MAIN
