EntityNumber,omzet
0842.322.066,6327698.41
0843.144.091,8376601.32
0843.168.441,838554.34
0843.333.737,10907.11
0843.532.388,47996.58
0843.838.731,97607.8
0844.413.704,171178.91
0845.200.095,107835.05
0845.365.688,40151.82
0845.629.964,341901.91
0845.843.562,197348.51
0846.165.543,250021.04
0846.276.993,3102777.02
0846.406.855,43540.75
0846.487.029,516271.41
0846.636.982,245213.63
0846.766.943,14478.99
0847.350.032,113954.13
0847.637.567,100811.52
0847.785.245,60526.03
0847.889.074,374201.85
0848.007.652,79137.28
0848.087.529,388663.96
0848.088.717,1834.29
0848.584.407,212119
0848.653.295,164956.65
0849.067.328,43984.01
0849.182.144,30374.99
0849.273.602,516824.93
0849.384.062,277527.63
0849.438.403,9190.06
0849.501.254,45825.29
0849.847.286,169568.99
0849.858.966,819527.48
0849.870.250,1806993.18
0859.581.336,3728
0859.790.974,5613479.85
0860.159.574,73799.08
0860.674.070,232071.40
0860.855.402,515030.16
0861.238.650,105094.07
0861.276.064,444173.11
0861.360.295,1130075.44
0861.857.569,127308.36
0862.271.404,88651.51
0862.290.705,53814
0862.414.627,27262.84
0862.421.753,246264.32
0862.669.993,6685324.58
0863.083.927,1162.91
0863.239.820,427721.81
0863.356.022,196623.69
0863.550.616,18923.15
0863.552.002,2421654.24
0863.954.650,35190.64
0864.112.721,105156.27
0864.393.922,29301.76
0865.483.983,139281
0865.799.333,1517178.12
0865.873.171,69872.97
0865.884.158,38770.64
0866.244.444,16575635.83
0866.563.752,2946845.45
0866.606.215,10727.94
0867.097.351,264295.26
0867.261.954,36396.96
0867.310.058,1527539.76
0867.329.161,61250.47
0867.694.395,261478.56
0867.762.988,72777.73
0867.878.497,657028.79
0870.162.848,1522753.39
0870.231.936,202657.42
0870.837.492,853229.27
0870.878.470,118389.76
0870.929.544,18.79
0872.110.568,2106006.55
0872.283.782,358748.44
0872.311.102,259635.21
0872.413.248,513645
0872.824.014,2211835.26
0872.887.954,39234.45
0873.372.954,7881.28
0873.931.297,34531.61
0873.932.188,55185.88
0874.558.433,285472.37
0875.390.059,18636.01
0875.944.444,620836.5
0875.989.281,171743.95
0876.603.252,362622.34
0877.095.675,153453.16
0877.574.737,53743.99
0877.739.934,24137.49
0877.884.246,30002.96
0878.294.814,13171064.86
0878.549.190,12069.58
0878.587.002,1843
0878.617.783,79653.78
0878.953.721,162081.85
0878.979.752,132562.39
0878.999.746,63526.85
0879.163.656,578641.63
0879.625.197,120854.54
0880.249.759,8048161.91
0880.331.616,136934.02
0880.350.323,2023177.69
0880.655.674,740886.23
0880.736.442,3948169.23
0880.810.577,82523.07
0880.918.663,24900.09
0880.972.014,598905.62
0881.089.701,203107.60
0881.514.620,207444.17
0881.713.271,45360.86
0881.753.655,300296.99
0882.100.479,37295.89
0882.131.559,44359.34
0882.244.395,13037.41
0882.343.177,35355.83
0882.381.185,380173.2
0882.547.174,14533.64
0882.825.407,281768.11
0882.912.509,1053578.49
0883.413.147,565891.33
0884.355.730,1740124.43
0884.621.192,1273621.67
0884.740.166,584807.05
0885.283.663,546329.73
0885.341.269,4797.06
0886.368.974,2996539.25
0887.037.680,39341.46
0887.549.406,917328.79
0888.163.672,88435.33
0888.365.491,1824028.59
0888.581.861,13895.44
0888.614.228,39890.49
0888.709.941,66198.94
0889.268.581,198262
0889.781.394,1538242.91
0889.812.177,541935
0890.145.838,26363.23
0890.170.384,147006.76
0890.236.207,116328.39
0890.389.031,573704.22
0890.567.787,1361423.27
0890.841.268,784596.74
0890.984.986,121669.44
0891.159.982,400947.56
0892.194.320,62945.18
0892.220.549,1652945.14
0893.200.942,463829.62
0893.614.577,29441.2
0893.875.883,112348.96
0894.468.276,556403.19
0894.675.144,664516.04
0894.682.567,17781.5
0894.784.319,4341.91
0894.941.596,208025.17
0895.224.876,100618.23
0895.233.289,38673.74
0895.472.920,3209459.77
0895.726.902,68971.05
0895.803.710,157793.76
0896.001.668,872392.74
0896.108.269,144343.85
0897.291.570,2272412.15
0897.362.044,581639.65
0897.411.435,9244.72
0898.063.711,371548.55
0898.100.432,116969.35
0898.204.657,5135.84
0898.240.685,296069.92
0898.400.241,878.5
0898.829.021,74423.91
0899.618.778,190943.57
0899.628.775,101209.74
0899.630.854,138375.05
0899.716.174,126638.14
1000.398.909,13485.85
1002.348.114,22113.65
1003.177.463,12710
1003.270.208,8108.4
1003.914.366,5135.89
