EntityNumber,omzet
0464.806.578,93530.32
0464.963.956,2305527.67
0465.557.339,462199.26
0466.015.615,153800
0466.095.193,287510.92
0466.795.375,18001.38
0467.029.759,191390.26
0467.163.381,131850.31
0470.009.837,2387313.01
0470.201.857,786809.48
0470.799.002,463948.36
0471.321.911,8293047.44
0471.350.615,219624.57
0472.091.377,153846.43
0472.712.078,3065731.93
0472.959.825,595916.52
0473.605.369,2123340.94
0473.686.038,2629837.17
0474.005.346,55887
0474.097.495,207617.73
0474.357.912,327760.48
0474.671.280,37200
0474.891.610,139598.56
0476.126.379,6470021.05
0476.381.450,546637.95
0476.384.915,925974.17
0476.568.720,1331068.41
0477.892.472,394416.20
0478.956.108,22582.85
0478.970.162,24193.18
0479.031.035,356876.12
0479.146.940,46224.73
0479.408.642,786209.32
0479.489.212,53448.50
0479.534.346,343180.92
0479.535.930,195086.98
0479.569.582,207239.25
0479.599.870,75243.37
0479.689.447,280800.32
0479.759.327,140426.29
0479.790.803,840578.16
0480.149.604,404887.41
0480.206.022,848096.93
0480.212.158,26412.8
0480.568.781,30011.23
0480.717.152,12118.69
0500.592.749,56943
0500.625.611,114328.23
0500.782.888,3668738.53
0501.625.602,3599.31
0501.700.331,34187.3
0502.339.640,19444.87
0502.375.569,62840
0502.399.820,96575.36
0502.487.714,172406.78
0503.821.760,857641.38
0503.920.146,109978.07
0505.689.209,786260.32
0506.702.264,720038.88
0507.838.946,6468944.55
0507.840.728,112682.26
0508.810.134,1728370.59
0508.865.265,306967.73
0521.770.324,275635.68
0521.864.750,268807.30
0521.978.972,303587.74
0523.967.175,18355.79
0524.704.177,105216.96
0524.786.727,35506.74
0534.456.538,174770.55
0534.494.249,107961.51
0536.166.708,11536.76
0536.783.944,408337.39
0538.623.182,60681.69
0538.747.601,172690.4
0538.974.758,925065.67
0540.591.688,160713.81
0541.375.113,3266878.85
0541.501.609,69357.84
0541.747.671,114016.74
0542.508.627,113799
0542.753.602,99486.27
0542.896.627,211400.28
0542.899.595,110785.42
0543.382.122,16938470.03
0543.594.037,480081.33
0543.709.744,126604.31
0543.806.051,136660.14
0544.309.461,144451.03
0544.466.542,9044.15
0544.544.637,5677.27
0544.750.911,166826.77
0544.771.794,1131651.9
0544.881.959,954927.29
0544.908.683,15421
0545.872.349,44230.58
0546.682.102,58521.03
0546.911.932,538888.33
0549.944.864,14999.05
0549.982.575,638151.29
0550.392.648,3360895.32
0550.450.749,52692.51
0550.538.445,45279.19
0550.857.159,56128.7
0551.976.718,109653.38
0552.874.363,66955.34
0553.505.061,104051.33
0553.555.739,61722.94
0553.919.488,131008
0553.973.235,23555.03
0554.702.616,6807748.97
0554.739.040,232982.45
0555.715.770,2645341.61
0555.719.631,146370.11
0555.951.639,66039.23
0556.680.525,44002.13
0556.690.324,9209.34
0558.977.742,364582.85
0559.879.446,98216.27
0560.762.245,150032
0562.900.106,39938
0563.531.101,100604.73
0563.778.648,365156.01
0563.991.058,138429.03
0564.996.195,50422.14
0566.930.653,80135.33
0567.521.462,309671.16
0567.526.511,32968
0567.539.575,335597.2
0567.575.110,144805
0567.682.602,23.33
0567.807.811,672061.06
0567.907.977,280885.26
0568.981.709,269030.75
0597.662.233,8223.55
0597.666.290,23318.64
0597.685.294,221021.09
0597.691.531,372766.88
0597.704.201,1416425.56
0598.735.072,110845.16
0598.833.062,511426.69
0598.899.576,117750.43
0599.899.171,146929.22
0600.924.007,33801.48
0600.944.989,162930.80
0600.972.804,42988.55
0600.986.660,57600.97
0604.977.518,26351.46
0606.962.454,1523.36
0607.851.686,1054008.97
0607.878.313,109297.22
0607.934.632,2725820.40
0612.989.916,35393.64
0627.945.435,31822.36
0628.833.083,6293.85
0628.996.993,9456310.75
0629.813.476,177608.63
0631.715.765,587911.71
0631.806.926,42045.09
0632.726.941,119452.66
0632.973.597,146178.30
0633.531.447,44579.52
0633.811.856,180622.98
0634.570.535,1002672.99
0636.820.341,103139.75
0637.861.409,190527
0642.756.642,2682102.62
0642.772.973,110940.76
0642.910.951,449151.26
0643.954.888,798227.8
0646.953.376,55042.66
0646.959.019,116388.76
0648.996.316,481208.88
0648.998.987,18779.32
0651.733.892,33254.38
0652.967.772,433837.65
0654.939.446,6981.77
0655.791.561,7379.24
0655.903.310,57888.4
0655.927.262,419260.04
0656.491.545,65958.49
0656.503.423,334248.22
0656.530.642,6086661.31
0656.574.390,2211594.36
0657.945.654,460778.27
0657.947.139,75894.36
0658.839.539,80084.58
0659.700.067,651390.37
0659.712.440,67230.47
0659.983.050,173817.13
0660.831.108,1364968.25
0663.677.166,325317
0663.688.153,24922.93
0663.779.512,206450.11
0663.862.555,8461.40
0664.548.978,3464713.95
0665.620.532,64864.42
0665.664.577,55498
0666.407.222,101617.45
0666.493.829,3652844.15
0666.675.357,142940.72
0666.790.866,123261.64
0666.865.694,60547.08
0667.732.756,367835.89
0668.434.918,91462.67
0668.614.367,194167.65
0668.947.434,92784.8
0669.785.097,191498.28
0670.879.021,312532.86
0670.896.441,209281.47
0670.979.682,1192238.53
0671.608.303,206354.28
0671.828.928,56976
0671.872.478,971524.61
